manufacturer,displ,year,cyl,trans,drv,cty,hwy,fl,class
dodge,3.8,2008,6,autol6,f,16,23,r,minivan
dodge,4.0,2008,6,autol6,f,16,23,r,minivan
dodge,3.7,2008,6,manualm6,4,15,19,r,pickup
dodge,3.7,2008,6,autol4,4,14,18,r,pickup
dodge,3.9,1999,6,autol4,4,13,17,r,pickup
dodge,3.9,1999,6,manualm5,4,14,17,r,pickup
dodge,4.7,2008,8,autol5,4,14,19,r,pickup
dodge,4.7,2008,8,autol5,4,14,19,r,pickup
dodge,4.7,2008,8,autol5,4,9,12,e,pickup
dodge,5.2,1999,8,manualm5,4,11,17,r,pickup
dodge,5.2,1999,8,autol4,4,11,15,r,pickup
dodge,3.9,1999,6,autol4,4,13,17,r,suv
dodge,4.7,2008,8,autol5,4,13,17,r,suv
dodge,4.7,2008,8,autol5,4,9,12,e,suv
dodge,4.7,2008,8,autol5,4,13,17,r,suv
dodge,5.2,1999,8,autol4,4,11,16,r,suv
dodge,5.7,2008,8,autol5,4,13,18,r,suv
dodge,5.9,1999,8,autol4,4,11,15,r,suv
dodge,4.7,2008,8,manualm6,4,12,16,r,pickup
dodge,4.7,2008,8,autol5,4,9,12,e,pickup
dodge,4.7,2008,8,autol5,4,13,17,r,pickup
dodge,4.7,2008,8,autol5,4,13,17,r,pickup
dodge,4.7,2008,8,manualm6,4,12,16,r,pickup
dodge,4.7,2008,8,manualm6,4,9,12,e,pickup
dodge,5.2,1999,8,autol4,4,11,15,r,pickup
dodge,5.2,1999,8,manualm5,4,11,16,r,pickup
dodge,5.7,2008,8,autol5,4,13,17,r,pickup
dodge,5.9,1999,8,autol4,4,11,15,r,pickup
ford,4.6,1999,8,autol4,r,11,17,r,suv
ford,5.4,1999,8,autol4,r,11,17,r,suv
ford,5.4,2008,8,autol6,r,12,18,r,suv
ford,4.0,1999,6,autol5,4,14,17,r,suv
ford,4.0,1999,6,manualm5,4,15,19,r,suv
ford,4.0,1999,6,autol5,4,14,17,r,suv
ford,4.0,2008,6,autol5,4,13,19,r,suv
ford,4.6,2008,8,autol6,4,13,19,r,suv
ford,5.0,1999,8,autol4,4,13,17,r,suv
ford,4.2,1999,6,autol4,4,14,17,r,pickup
ford,4.2,1999,6,manualm5,4,14,17,r,pickup
ford,4.6,1999,8,manualm5,4,13,16,r,pickup
ford,4.6,1999,8,autol4,4,13,16,r,pickup
ford,4.6,2008,8,autol4,4,13,17,r,pickup
ford,5.4,1999,8,autol4,4,11,15,r,pickup
ford,5.4,2008,8,autol4,4,13,17,r,pickup
ford,3.8,1999,6,manualm5,r,18,26,r,subcompact
ford,3.8,1999,6,autol4,r,18,25,r,subcompact
ford,4.0,2008,6,manualm5,r,17,26,r,subcompact
ford,4.0,2008,6,autol5,r,16,24,r,subcompact
ford,4.6,1999,8,autol4,r,15,21,r,subcompact
ford,4.6,1999,8,manualm5,r,15,22,r,subcompact
ford,4.6,2008,8,manualm5,r,15,23,r,subcompact
ford,4.6,2008,8,autol5,r,15,22,r,subcompact
ford,5.4,2008,8,manualm6,r,14,20,p,subcompact
honda,1.6,1999,4,manualm5,f,28,33,r,subcompact
honda,1.6,1999,4,autol4,f,24,32,r,subcompact
honda,1.6,1999,4,manualm5,f,25,32,r,subcompact
honda,1.6,1999,4,manualm5,f,23,29,p,subcompact
honda,1.6,1999,4,autol4,f,24,32,r,subcompact
honda,1.8,2008,4,manualm5,f,26,34,r,subcompact
honda,1.8,2008,4,autol5,f,25,36,r,subcompact
honda,1.8,2008,4,autol5,f,24,36,c,subcompact
honda,2.0,2008,4,manualm6,f,21,29,p,subcompact
hyundai,2.4,1999,4,autol4,f,18,26,r,midsize
hyundai,2.4,1999,4,manualm5,f,18,27,r,midsize
hyundai,2.4,2008,4,autol4,f,21,30,r,midsize
hyundai,2.4,2008,4,manualm5,f,21,31,r,midsize
hyundai,2.5,1999,6,autol4,f,18,26,r,midsize
hyundai,2.5,1999,6,manualm5,f,18,26,r,midsize
hyundai,3.3,2008,6,autol5,f,19,28,r,midsize
hyundai,2.0,1999,4,autol4,f,19,26,r,subcompact
hyundai,2.0,1999,4,manualm5,f,19,29,r,subcompact
hyundai,2.0,2008,4,manualm5,f,20,28,r,subcompact
hyundai,2.0,2008,4,autol4,f,20,27,r,subcompact
hyundai,2.7,2008,6,autol4,f,17,24,r,subcompact
hyundai,2.7,2008,6,manualm6,f,16,24,r,subcompact
hyundai,2.7,2008,6,manualm5,f,17,24,r,subcompact
jeep,3.0,2008,6,autol5,4,17,22,d,suv
jeep,3.7,2008,6,autol5,4,15,19,r,suv
jeep,4.0,1999,6,autol4,4,15,20,r,suv
jeep,4.7,1999,8,autol4,4,14,17,r,suv
jeep,4.7,2008,8,autol5,4,9,12,e,suv
jeep,4.7,2008,8,autol5,4,14,19,r,suv
jeep,5.7,2008,8,autol5,4,13,18,r,suv
jeep,6.1,2008,8,autol5,4,11,14,p,suv
land rover,4.0,1999,8,autol4,4,11,15,p,suv
land rover,4.2,2008,8,autos6,4,12,18,r,suv
land rover,4.4,2008,8,autos6,4,12,18,r,suv
land rover,4.6,1999,8,autol4,4,11,15,p,suv
lincoln,5.4,1999,8,autol4,r,11,17,r,suv
lincoln,5.4,1999,8,autol4,r,11,16,p,suv
lincoln,5.4,2008,8,autol6,r,12,18,r,suv
mercury,4.0,1999,6,autol5,4,14,17,r,suv
mercury,4.0,2008,6,autol5,4,13,19,r,suv
mercury,4.6,2008,8,autol6,4,13,19,r,suv
mercury,5.0,1999,8,autol4,4,13,17,r,suv
nissan,2.4,1999,4,manualm5,f,21,29,r,compact
nissan,2.4,1999,4,autol4,f,19,27,r,compact
nissan,2.5,2008,4,autoav,f,23,31,r,midsize
nissan,2.5,2008,4,manualm6,f,23,32,r,midsize
nissan,3.5,2008,6,manualm6,f,19,27,p,midsize
nissan,3.5,2008,6,autoav,f,19,26,p,midsize
nissan,3.0,1999,6,autol4,f,18,26,r,midsize
nissan,3.0,1999,6,manualm5,f,19,25,r,midsize
nissan,3.5,2008,6,autoav,f,19,25,p,midsize
nissan,3.3,1999,6,autol4,4,14,17,r,suv
nissan,3.3,1999,6,manualm5,4,15,17,r,suv
nissan,4.0,2008,6,autol5,4,14,20,p,suv
nissan,5.6,2008,8,autos5,4,12,18,p,suv
pontiac,3.1,1999,6,autol4,f,18,26,r,midsize
pontiac,3.8,1999,6,autol4,f,16,26,p,midsize
pontiac,3.8,1999,6,autol4,f,17,27,r,midsize
pontiac,3.8,2008,6,autol4,f,18,28,r,midsize
pontiac,5.3,2008,8,autos4,f,16,25,p,midsize
subaru,2.5,1999,4,manualm5,4,18,25,r,suv
subaru,2.5,1999,4,autol4,4,18,24,r,suv
subaru,2.5,2008,4,manualm5,4,20,27,r,suv
subaru,2.5,2008,4,manualm5,4,19,25,p,suv
subaru,2.5,2008,4,autol4,4,20,26,r,suv
subaru,2.5,2008,4,autol4,4,18,23,p,suv
subaru,2.2,1999,4,autol4,4,21,26,r,subcompact
subaru,2.2,1999,4,manualm5,4,19,26,r,subcompact
subaru,2.5,1999,4,manualm5,4,19,26,r,subcompact
subaru,2.5,1999,4,autol4,4,19,26,r,subcompact
subaru,2.5,2008,4,autos4,4,20,25,p,compact
subaru,2.5,2008,4,autos4,4,20,27,r,compact
subaru,2.5,2008,4,manualm5,4,19,25,p,compact
subaru,2.5,2008,4,manualm5,4,20,27,r,compact
toyota,2.7,1999,4,manualm5,4,15,20,r,suv
toyota,2.7,1999,4,autol4,4,16,20,r,suv
toyota,3.4,1999,6,autol4,4,15,19,r,suv
toyota,3.4,1999,6,manualm5,4,15,17,r,suv
toyota,4.0,2008,6,autol5,4,16,20,r,suv
toyota,4.7,2008,8,autol5,4,14,17,r,suv
toyota,2.2,1999,4,manualm5,f,21,29,r,midsize
toyota,2.2,1999,4,autol4,f,21,27,r,midsize
toyota,2.4,2008,4,manualm5,f,21,31,r,midsize
toyota,2.4,2008,4,autol5,f,21,31,r,midsize
toyota,3.0,1999,6,autol4,f,18,26,r,midsize
toyota,3.0,1999,6,manualm5,f,18,26,r,midsize
toyota,3.5,2008,6,autos6,f,19,28,r,midsize
toyota,2.2,1999,4,autol4,f,21,27,r,compact
toyota,2.2,1999,4,manualm5,f,21,29,r,compact
toyota,2.4,2008,4,manualm5,f,21,31,r,compact
toyota,2.4,2008,4,autos5,f,22,31,r,compact
toyota,3.0,1999,6,autol4,f,18,26,r,compact
toyota,3.0,1999,6,manualm5,f,18,26,r,compact
toyota,3.3,2008,6,autos5,f,18,27,r,compact
toyota,1.8,1999,4,autol3,f,24,30,r,compact
toyota,1.8,1999,4,autol4,f,24,33,r,compact
toyota,1.8,1999,4,manualm5,f,26,35,r,compact
toyota,1.8,2008,4,manualm5,f,28,37,r,compact
toyota,1.8,2008,4,autol4,f,26,35,r,compact
toyota,4.7,1999,8,autol4,4,11,15,r,suv
toyota,5.7,2008,8,autos6,4,13,18,r,suv
toyota,2.7,1999,4,manualm5,4,15,20,r,pickup
toyota,2.7,1999,4,autol4,4,16,20,r,pickup
toyota,2.7,2008,4,manualm5,4,17,22,r,pickup
toyota,3.4,1999,6,manualm5,4,15,17,r,pickup
toyota,3.4,1999,6,autol4,4,15,19,r,pickup
toyota,4.0,2008,6,manualm6,4,15,18,r,pickup
toyota,4.0,2008,6,autol5,4,16,20,r,pickup
volkswagen,2.0,1999,4,manualm5,f,21,29,r,compact
volkswagen,2.0,1999,4,autol4,f,19,26,r,compact
volkswagen,2.0,2008,4,manualm6,f,21,29,p,compact
volkswagen,2.0,2008,4,autos6,f,22,29,p,compact
volkswagen,2.8,1999,6,manualm5,f,17,24,r,compact
volkswagen,1.9,1999,4,manualm5,f,33,44,d,compact
volkswagen,2.0,1999,4,manualm5,f,21,29,r,compact
volkswagen,2.0,1999,4,autol4,f,19,26,r,compact
volkswagen,2.0,2008,4,autos6,f,22,29,p,compact
volkswagen,2.0,2008,4,manualm6,f,21,29,p,compact
volkswagen,2.5,2008,5,autos6,f,21,29,r,compact
volkswagen,2.5,2008,5,manualm5,f,21,29,r,compact
volkswagen,2.8,1999,6,autol4,f,16,23,r,compact
volkswagen,2.8,1999,6,manualm5,f,17,24,r,compact
volkswagen,1.9,1999,4,manualm5,f,35,44,d,subcompact
volkswagen,1.9,1999,4,autol4,f,29,41,d,subcompact
volkswagen,2.0,1999,4,manualm5,f,21,29,r,subcompact
volkswagen,2.0,1999,4,autol4,f,19,26,r,subcompact
volkswagen,2.5,2008,5,manualm5,f,20,28,r,subcompact
volkswagen,2.5,2008,5,autos6,f,20,29,r,subcompact
volkswagen,1.8,1999,4,manualm5,f,21,29,p,midsize
volkswagen,1.8,1999,4,autol5,f,18,29,p,midsize
volkswagen,2.0,2008,4,autos6,f,19,28,p,midsize
volkswagen,2.0,2008,4,manualm6,f,21,29,p,midsize
volkswagen,2.8,1999,6,autol5,f,16,26,p,midsize
volkswagen,2.8,1999,6,manualm5,f,18,26,p,midsize
volkswagen,3.6,2008,6,autos6,f,17,26,p,midsize
