manufacturer,year,cyl,trans,drv,cty,hwy,fl,class
dodge,1999,6,auto(l4),4,13,17,r,suv
dodge,2008,8,auto(l5),4,13,17,r,suv
dodge,2008,8,auto(l5),4,9,12,e,suv
dodge,2008,8,auto(l5),4,13,17,r,suv
dodge,1999,8,auto(l4),4,11,16,r,suv
dodge,2008,8,auto(l5),4,13,18,r,suv
dodge,1999,8,auto(l4),4,11,15,r,suv
dodge,2008,8,manual(m6),4,12,16,r,pickup
dodge,2008,8,auto(l5),4,9,12,e,pickup
dodge,2008,8,auto(l5),4,13,17,r,pickup
dodge,2008,8,auto(l5),4,13,17,r,pickup
dodge,2008,8,manual(m6),4,12,16,r,pickup
dodge,2008,8,manual(m6),4,9,12,e,pickup
dodge,1999,8,auto(l4),4,11,15,r,pickup
dodge,1999,8,manual(m5),4,11,16,r,pickup
dodge,2008,8,auto(l5),4,13,17,r,pickup
dodge,1999,8,auto(l4),4,11,15,r,pickup
ford,1999,8,auto(l4),r,11,17,r,suv
ford,1999,8,auto(l4),r,11,17,r,suv
ford,2008,8,auto(l6),r,12,18,r,suv
ford,1999,6,auto(l5),4,14,17,r,suv
ford,1999,6,manual(m5),4,15,19,r,suv
ford,1999,6,auto(l5),4,14,17,r,suv
ford,2008,6,auto(l5),4,13,19,r,suv
ford,2008,8,auto(l6),4,13,19,r,suv
ford,1999,8,auto(l4),4,13,17,r,suv
ford,1999,6,auto(l4),4,14,17,r,pickup
ford,1999,6,manual(m5),4,14,17,r,pickup
ford,1999,8,manual(m5),4,13,16,r,pickup
ford,1999,8,auto(l4),4,13,16,r,pickup
ford,2008,8,auto(l4),4,13,17,r,pickup
ford,1999,8,auto(l4),4,11,15,r,pickup
ford,2008,8,auto(l4),4,13,17,r,pickup
ford,1999,6,manual(m5),r,18,26,r,subcompact
ford,1999,6,auto(l4),r,18,25,r,subcompact
ford,2008,6,manual(m5),r,17,26,r,subcompact
ford,2008,6,auto(l5),r,16,24,r,subcompact
ford,1999,8,auto(l4),r,15,21,r,subcompact
ford,1999,8,manual(m5),r,15,22,r,subcompact
ford,2008,8,manual(m5),r,15,23,r,subcompact
ford,2008,8,auto(l5),r,15,22,r,subcompact
ford,2008,8,manual(m6),r,14,20,p,subcompact
honda,1999,4,manual(m5),f,28,33,r,subcompact
honda,1999,4,auto(l4),f,24,32,r,subcompact
honda,1999,4,manual(m5),f,25,32,r,subcompact
honda,1999,4,manual(m5),f,23,29,p,subcompact
honda,1999,4,auto(l4),f,24,32,r,subcompact
honda,2008,4,manual(m5),f,26,34,r,subcompact
honda,2008,4,auto(l5),f,25,36,r,subcompact
honda,2008,4,auto(l5),f,24,36,c,subcompact
honda,2008,4,manual(m6),f,21,29,p,subcompact
hyundai,1999,4,auto(l4),f,18,26,r,midsize
hyundai,1999,4,manual(m5),f,18,27,r,midsize
hyundai,2008,4,auto(l4),f,21,30,r,midsize
hyundai,2008,4,manual(m5),f,21,31,r,midsize
hyundai,1999,6,auto(l4),f,18,26,r,midsize
hyundai,1999,6,manual(m5),f,18,26,r,midsize
hyundai,2008,6,auto(l5),f,19,28,r,midsize
hyundai,1999,4,auto(l4),f,19,26,r,subcompact
hyundai,1999,4,manual(m5),f,19,29,r,subcompact
hyundai,2008,4,manual(m5),f,20,28,r,subcompact
hyundai,2008,4,auto(l4),f,20,27,r,subcompact
hyundai,2008,6,auto(l4),f,17,24,r,subcompact
hyundai,2008,6,manual(m6),f,16,24,r,subcompact
hyundai,2008,6,manual(m5),f,17,24,r,subcompact
jeep,2008,6,auto(l5),4,17,22,d,suv
jeep,2008,6,auto(l5),4,15,19,r,suv
jeep,1999,6,auto(l4),4,15,20,r,suv
jeep,1999,8,auto(l4),4,14,17,r,suv
jeep,2008,8,auto(l5),4,9,12,e,suv
jeep,2008,8,auto(l5),4,14,19,r,suv
jeep,2008,8,auto(l5),4,13,18,r,suv
jeep,2008,8,auto(l5),4,11,14,p,suv
land rover,1999,8,auto(l4),4,11,15,p,suv
land rover,2008,8,auto(s6),4,12,18,r,suv
land rover,2008,8,auto(s6),4,12,18,r,suv
land rover,1999,8,auto(l4),4,11,15,p,suv
lincoln,1999,8,auto(l4),r,11,17,r,suv
lincoln,1999,8,auto(l4),r,11,16,p,suv
lincoln,2008,8,auto(l6),r,12,18,r,suv
mercury,1999,6,auto(l5),4,14,17,r,suv
mercury,2008,6,auto(l5),4,13,19,r,suv
mercury,2008,8,auto(l6),4,13,19,r,suv
mercury,1999,8,auto(l4),4,13,17,r,suv
nissan,1999,4,manual(m5),f,21,29,r,compact
nissan,1999,4,auto(l4),f,19,27,r,compact
nissan,2008,4,auto(av),f,23,31,r,midsize
nissan,2008,4,manual(m6),f,23,32,r,midsize
nissan,2008,6,manual(m6),f,19,27,p,midsize
nissan,2008,6,auto(av),f,19,26,p,midsize
nissan,1999,6,auto(l4),f,18,26,r,midsize
nissan,1999,6,manual(m5),f,19,25,r,midsize
nissan,2008,6,auto(av),f,19,25,p,midsize
nissan,1999,6,auto(l4),4,14,17,r,suv
nissan,1999,6,manual(m5),4,15,17,r,suv
nissan,2008,6,auto(l5),4,14,20,p,suv
nissan,2008,8,auto(s5),4,12,18,p,suv
pontiac,1999,6,auto(l4),f,18,26,r,midsize
pontiac,1999,6,auto(l4),f,16,26,p,midsize
pontiac,1999,6,auto(l4),f,17,27,r,midsize
pontiac,2008,6,auto(l4),f,18,28,r,midsize
pontiac,2008,8,auto(s4),f,16,25,p,midsize
subaru,1999,4,manual(m5),4,18,25,r,suv
subaru,1999,4,auto(l4),4,18,24,r,suv
subaru,2008,4,manual(m5),4,20,27,r,suv
subaru,2008,4,manual(m5),4,19,25,p,suv
subaru,2008,4,auto(l4),4,20,26,r,suv
subaru,2008,4,auto(l4),4,18,23,p,suv
subaru,1999,4,auto(l4),4,21,26,r,subcompact
subaru,1999,4,manual(m5),4,19,26,r,subcompact
subaru,1999,4,manual(m5),4,19,26,r,subcompact
subaru,1999,4,auto(l4),4,19,26,r,subcompact
subaru,2008,4,auto(s4),4,20,25,p,compact
subaru,2008,4,auto(s4),4,20,27,r,compact
subaru,2008,4,manual(m5),4,19,25,p,compact
subaru,2008,4,manual(m5),4,20,27,r,compact
toyota,1999,4,manual(m5),4,15,20,r,suv
toyota,1999,4,auto(l4),4,16,20,r,suv
toyota,1999,6,auto(l4),4,15,19,r,suv
toyota,1999,6,manual(m5),4,15,17,r,suv
toyota,2008,6,auto(l5),4,16,20,r,suv
toyota,2008,8,auto(l5),4,14,17,r,suv
toyota,1999,4,manual(m5),f,21,29,r,midsize
toyota,1999,4,auto(l4),f,21,27,r,midsize
toyota,2008,4,manual(m5),f,21,31,r,midsize
toyota,2008,4,auto(l5),f,21,31,r,midsize
toyota,1999,6,auto(l4),f,18,26,r,midsize
toyota,1999,6,manual(m5),f,18,26,r,midsize
toyota,2008,6,auto(s6),f,19,28,r,midsize
toyota,1999,4,auto(l4),f,21,27,r,compact
toyota,1999,4,manual(m5),f,21,29,r,compact
toyota,2008,4,manual(m5),f,21,31,r,compact
toyota,2008,4,auto(s5),f,22,31,r,compact
toyota,1999,6,auto(l4),f,18,26,r,compact
toyota,1999,6,manual(m5),f,18,26,r,compact
toyota,2008,6,auto(s5),f,18,27,r,compact
toyota,1999,4,auto(l3),f,24,30,r,compact
toyota,1999,4,auto(l4),f,24,33,r,compact
toyota,1999,4,manual(m5),f,26,35,r,compact
toyota,2008,4,manual(m5),f,28,37,r,compact
toyota,2008,4,auto(l4),f,26,35,r,compact
toyota,1999,8,auto(l4),4,11,15,r,suv
toyota,2008,8,auto(s6),4,13,18,r,suv
toyota,1999,4,manual(m5),4,15,20,r,pickup
toyota,1999,4,auto(l4),4,16,20,r,pickup
toyota,2008,4,manual(m5),4,17,22,r,pickup
toyota,1999,6,manual(m5),4,15,17,r,pickup
toyota,1999,6,auto(l4),4,15,19,r,pickup
toyota,2008,6,manual(m6),4,15,18,r,pickup
toyota,2008,6,auto(l5),4,16,20,r,pickup
volkswagen,1999,4,manual(m5),f,21,29,r,compact
volkswagen,1999,4,auto(l4),f,19,26,r,compact
volkswagen,2008,4,manual(m6),f,21,29,p,compact
volkswagen,2008,4,auto(s6),f,22,29,p,compact
volkswagen,1999,6,manual(m5),f,17,24,r,compact
volkswagen,1999,4,manual(m5),f,33,44,d,compact
volkswagen,1999,4,manual(m5),f,21,29,r,compact
volkswagen,1999,4,auto(l4),f,19,26,r,compact
volkswagen,2008,4,auto(s6),f,22,29,p,compact
volkswagen,2008,4,manual(m6),f,21,29,p,compact
volkswagen,2008,5,auto(s6),f,21,29,r,compact
volkswagen,2008,5,manual(m5),f,21,29,r,compact
volkswagen,1999,6,auto(l4),f,16,23,r,compact
volkswagen,1999,6,manual(m5),f,17,24,r,compact
volkswagen,1999,4,manual(m5),f,35,44,d,subcompact
volkswagen,1999,4,auto(l4),f,29,41,d,subcompact
volkswagen,1999,4,manual(m5),f,21,29,r,subcompact
volkswagen,1999,4,auto(l4),f,19,26,r,subcompact
volkswagen,2008,5,manual(m5),f,20,28,r,subcompact
volkswagen,2008,5,auto(s6),f,20,29,r,subcompact
volkswagen,1999,4,manual(m5),f,21,29,p,midsize
volkswagen,1999,4,auto(l5),f,18,29,p,midsize
volkswagen,2008,4,auto(s6),f,19,28,p,midsize
volkswagen,2008,4,manual(m6),f,21,29,p,midsize
volkswagen,1999,6,auto(l5),f,16,26,p,midsize
volkswagen,1999,6,manual(m5),f,18,26,p,midsize
volkswagen,2008,6,auto(s6),f,17,26,p,midsize
