Sr.no,carat,depth,table,clarity,cut
498,1.19,62.7,61,2,Premium
499,0.75,61.9,61,4,Premium
500,0.71,61.3,58,2,Premium
501,0.92,62.2,58,2,Premium
502,1.02,61.9,58,4,Premium
503,0.32,62.3,58,4,Premium
504,1.51,60.9,58,7,Premium
505,0.31,61.5,58,7,Premium
506,0.34,59.9,59,3,Premium
507,1.2,59.6,58,5,Premium
508,0.36,61.5,58,3,Premium
509,1.11,61.8,59,0,Premium
510,1.14,62.6,58,3,Premium
511,0.6,62,59,3,Premium
512,0.31,59.9,59,4,Premium
513,0.72,62.8,58,6,Premium
514,2.01,59.4,62,3,Premium
515,0.3,62.2,58,2,Premium
516,1.13,58.3,60,3,Premium
517,0.9,62.7,60,4,Premium
518,0.31,60.5,60,2,Premium
519,0.43,62.3,59,2,Premium
520,1.24,62.2,58,3,Premium
521,1.21,61,58,5,Premium
522,0.43,61,60,3,Premium
523,2.38,60.6,59,3,Premium
524,1.23,58.5,59,7,Premium
525,0.32,62.6,58,2,Premium
526,0.43,59.9,58,4,Premium
527,0.31,61.1,59,4,Premium
528,0.37,63,58,5,Premium
529,0.3,62.6,58,5,Premium
530,0.28,61.3,60,6,Premium
531,2.75,60.5,61,3,Premium
532,1.6,62.1,60,2,Premium
533,0.31,60.6,59,6,Premium
534,0.73,60,58,4,Premium
535,0.42,59.9,61,4,Premium
536,1.22,61.2,58,5,Premium
537,1.22,62.6,58,2,Premium
538,1.53,60.7,60,3,Premium
539,0.31,60.6,60,7,Premium
540,1.28,60.8,60,4,Premium
541,2.05,60,58,3,Premium
542,0.71,62.4,58,4,Premium
543,1.52,60.4,59,2,Premium
544,1.71,61.4,60,5,Premium
545,1.3,62.5,58,4,Premium
546,2.01,60.1,59,2,Premium
547,0.31,61.3,59,5,Premium
548,1.01,62.5,62,3,Premium
549,0.33,62.2,59,2,Premium
550,0.54,58.8,61,1,Premium
551,0.32,61,61,5,Premium
552,0.31,61.2,59,6,Premium
553,0.9,58,61,5,Premium
554,0.7,58.4,61,3,Premium
555,1.32,60.9,59,5,Premium
556,0.53,60,58,2,Premium
557,0.94,62.5,58,5,Premium
558,0.3,60,60,2,Premium
559,0.41,61,59,7,Premium
560,1.01,59.8,58,0,Premium
561,0.56,60.8,60,2,Premium
562,1,59.9,60,7,Premium
563,0.95,58.8,60,3,Premium
564,0.42,62.7,59,2,Premium
565,0.32,61.7,58,4,Premium
566,0.33,60.1,58,6,Premium
567,1.01,62.7,59,2,Premium
568,0.31,62.4,58,4,Premium
569,0.9,59.5,58,5,Premium
570,0.51,61.5,58,5,Premium
571,0.31,62.3,59,4,Premium
572,0.92,59.4,60,3,Premium
573,2.38,60.9,59,4,Premium
574,1.13,58.6,59,4,Premium
575,0.31,60.7,61,5,Premium
576,0.4,60.9,60,2,Premium
577,1.5,59.2,62,2,Premium
578,0.36,61.4,58,2,Premium
579,0.31,60.3,59,3,Premium
580,0.5,62.4,58,2,Premium
581,0.36,61.1,59,2,Premium
582,0.32,61.6,58,1,Premium
583,0.72,60.7,60,7,Premium
584,2.06,61,61,3,Premium
585,0.81,60.8,59,2,Premium
586,1.11,61.5,58,3,Premium
587,2.33,59.9,59,2,Premium
588,1.27,60.9,59,2,Premium
589,0.31,59.5,59,4,Premium
590,1.5,62.6,59,3,Premium
591,0.91,62.2,60,2,Premium
592,0.34,59.3,60,2,Premium
593,1.02,62,59,3,Premium
594,0.77,60.8,59,2,Premium
595,1.15,62.6,58,2,Premium
596,2.1,61.3,58,6,Premium
597,0.57,60.7,59,3,Premium
598,1.5,60.6,61,5,Premium
599,1.53,61.3,59,2,Premium
