model,displ,year,cyl,trans,drv,cty,hwy,fl,class
caravan 2wd,3.8,1999,6,autol4,f,15,22,r,minivan
caravan 2wd,3.8,1999,6,autol4,f,15,21,r,minivan
caravan 2wd,3.8,2008,6,autol6,f,16,23,r,minivan
caravan 2wd,4.0,2008,6,autol6,f,16,23,r,minivan
dakota pickup 4wd,3.7,2008,6,manualm6,4,15,19,r,pickup
dakota pickup 4wd,3.7,2008,6,autol4,4,14,18,r,pickup
dakota pickup 4wd,3.9,1999,6,autol4,4,13,17,r,pickup
dakota pickup 4wd,3.9,1999,6,manualm5,4,14,17,r,pickup
dakota pickup 4wd,4.7,2008,8,autol5,4,14,19,r,pickup
dakota pickup 4wd,4.7,2008,8,autol5,4,14,19,r,pickup
dakota pickup 4wd,4.7,2008,8,autol5,4,9,12,e,pickup
dakota pickup 4wd,5.2,1999,8,manualm5,4,11,17,r,pickup
dakota pickup 4wd,5.2,1999,8,autol4,4,11,15,r,pickup
durango 4wd,3.9,1999,6,autol4,4,13,17,r,suv
durango 4wd,4.7,2008,8,autol5,4,13,17,r,suv
durango 4wd,4.7,2008,8,autol5,4,9,12,e,suv
durango 4wd,4.7,2008,8,autol5,4,13,17,r,suv
durango 4wd,5.2,1999,8,autol4,4,11,16,r,suv
durango 4wd,5.7,2008,8,autol5,4,13,18,r,suv
durango 4wd,5.9,1999,8,autol4,4,11,15,r,suv
ram 1500 pickup 4wd,4.7,2008,8,manualm6,4,12,16,r,pickup
ram 1500 pickup 4wd,4.7,2008,8,autol5,4,9,12,e,pickup
ram 1500 pickup 4wd,4.7,2008,8,autol5,4,13,17,r,pickup
ram 1500 pickup 4wd,4.7,2008,8,autol5,4,13,17,r,pickup
ram 1500 pickup 4wd,4.7,2008,8,manualm6,4,12,16,r,pickup
ram 1500 pickup 4wd,4.7,2008,8,manualm6,4,9,12,e,pickup
ram 1500 pickup 4wd,5.2,1999,8,autol4,4,11,15,r,pickup
ram 1500 pickup 4wd,5.2,1999,8,manualm5,4,11,16,r,pickup
ram 1500 pickup 4wd,5.7,2008,8,autol5,4,13,17,r,pickup
ram 1500 pickup 4wd,5.9,1999,8,autol4,4,11,15,r,pickup
expedition 2wd,4.6,1999,8,autol4,r,11,17,r,suv
expedition 2wd,5.4,1999,8,autol4,r,11,17,r,suv
expedition 2wd,5.4,2008,8,autol6,r,12,18,r,suv
explorer 4wd,4.0,1999,6,autol5,4,14,17,r,suv
explorer 4wd,4.0,1999,6,manualm5,4,15,19,r,suv
explorer 4wd,4.0,1999,6,autol5,4,14,17,r,suv
explorer 4wd,4.0,2008,6,autol5,4,13,19,r,suv
explorer 4wd,4.6,2008,8,autol6,4,13,19,r,suv
explorer 4wd,5.0,1999,8,autol4,4,13,17,r,suv
f150 pickup 4wd,4.2,1999,6,autol4,4,14,17,r,pickup
f150 pickup 4wd,4.2,1999,6,manualm5,4,14,17,r,pickup
f150 pickup 4wd,4.6,1999,8,manualm5,4,13,16,r,pickup
f150 pickup 4wd,4.6,1999,8,autol4,4,13,16,r,pickup
f150 pickup 4wd,4.6,2008,8,autol4,4,13,17,r,pickup
f150 pickup 4wd,5.4,1999,8,autol4,4,11,15,r,pickup
f150 pickup 4wd,5.4,2008,8,autol4,4,13,17,r,pickup
mustang,3.8,1999,6,manualm5,r,18,26,r,subcompact
mustang,3.8,1999,6,autol4,r,18,25,r,subcompact
mustang,4.0,2008,6,manualm5,r,17,26,r,subcompact
mustang,4.0,2008,6,autol5,r,16,24,r,subcompact
mustang,4.6,1999,8,autol4,r,15,21,r,subcompact
mustang,4.6,1999,8,manualm5,r,15,22,r,subcompact
mustang,4.6,2008,8,manualm5,r,15,23,r,subcompact
mustang,4.6,2008,8,autol5,r,15,22,r,subcompact
mustang,5.4,2008,8,manualm6,r,14,20,p,subcompact
civic,1.6,1999,4,manualm5,f,28,33,r,subcompact
civic,1.6,1999,4,autol4,f,24,32,r,subcompact
civic,1.6,1999,4,manualm5,f,25,32,r,subcompact
civic,1.6,1999,4,manualm5,f,23,29,p,subcompact
civic,1.6,1999,4,autol4,f,24,32,r,subcompact
civic,1.8,2008,4,manualm5,f,26,34,r,subcompact
civic,1.8,2008,4,autol5,f,25,36,r,subcompact
civic,1.8,2008,4,autol5,f,24,36,c,subcompact
civic,2.0,2008,4,manualm6,f,21,29,p,subcompact
sonata,2.4,1999,4,autol4,f,18,26,r,midsize
sonata,2.4,1999,4,manualm5,f,18,27,r,midsize
sonata,2.4,2008,4,autol4,f,21,30,r,midsize
sonata,2.4,2008,4,manualm5,f,21,31,r,midsize
sonata,2.5,1999,6,autol4,f,18,26,r,midsize
sonata,2.5,1999,6,manualm5,f,18,26,r,midsize
sonata,3.3,2008,6,autol5,f,19,28,r,midsize
tiburon,2.0,1999,4,autol4,f,19,26,r,subcompact
tiburon,2.0,1999,4,manualm5,f,19,29,r,subcompact
tiburon,2.0,2008,4,manualm5,f,20,28,r,subcompact
tiburon,2.0,2008,4,autol4,f,20,27,r,subcompact
tiburon,2.7,2008,6,autol4,f,17,24,r,subcompact
tiburon,2.7,2008,6,manualm6,f,16,24,r,subcompact
tiburon,2.7,2008,6,manualm5,f,17,24,r,subcompact
grand cherokee 4wd,3.0,2008,6,autol5,4,17,22,d,suv
grand cherokee 4wd,3.7,2008,6,autol5,4,15,19,r,suv
grand cherokee 4wd,4.0,1999,6,autol4,4,15,20,r,suv
grand cherokee 4wd,4.7,1999,8,autol4,4,14,17,r,suv
grand cherokee 4wd,4.7,2008,8,autol5,4,9,12,e,suv
grand cherokee 4wd,4.7,2008,8,autol5,4,14,19,r,suv
grand cherokee 4wd,5.7,2008,8,autol5,4,13,18,r,suv
grand cherokee 4wd,6.1,2008,8,autol5,4,11,14,p,suv
range rover,4.0,1999,8,autol4,4,11,15,p,suv
range rover,4.2,2008,8,autos6,4,12,18,r,suv
range rover,4.4,2008,8,autos6,4,12,18,r,suv
range rover,4.6,1999,8,autol4,4,11,15,p,suv
navigator 2wd,5.4,1999,8,autol4,r,11,17,r,suv
navigator 2wd,5.4,1999,8,autol4,r,11,16,p,suv
navigator 2wd,5.4,2008,8,autol6,r,12,18,r,suv
mountaineer 4wd,4.0,1999,6,autol5,4,14,17,r,suv
mountaineer 4wd,4.0,2008,6,autol5,4,13,19,r,suv
mountaineer 4wd,4.6,2008,8,autol6,4,13,19,r,suv
mountaineer 4wd,5.0,1999,8,autol4,4,13,17,r,suv
altima,2.4,1999,4,manualm5,f,21,29,r,compact
altima,2.4,1999,4,autol4,f,19,27,r,compact
altima,2.5,2008,4,autoav,f,23,31,r,midsize
altima,2.5,2008,4,manualm6,f,23,32,r,midsize
altima,3.5,2008,6,manualm6,f,19,27,p,midsize
altima,3.5,2008,6,autoav,f,19,26,p,midsize
maxima,3.0,1999,6,autol4,f,18,26,r,midsize
maxima,3.0,1999,6,manualm5,f,19,25,r,midsize
maxima,3.5,2008,6,autoav,f,19,25,p,midsize
pathfinder 4wd,3.3,1999,6,autol4,4,14,17,r,suv
pathfinder 4wd,3.3,1999,6,manualm5,4,15,17,r,suv
pathfinder 4wd,4.0,2008,6,autol5,4,14,20,p,suv
pathfinder 4wd,5.6,2008,8,autos5,4,12,18,p,suv
grand prix,3.1,1999,6,autol4,f,18,26,r,midsize
grand prix,3.8,1999,6,autol4,f,16,26,p,midsize
grand prix,3.8,1999,6,autol4,f,17,27,r,midsize
grand prix,3.8,2008,6,autol4,f,18,28,r,midsize
grand prix,5.3,2008,8,autos4,f,16,25,p,midsize
forester awd,2.5,1999,4,manualm5,4,18,25,r,suv
forester awd,2.5,1999,4,autol4,4,18,24,r,suv
forester awd,2.5,2008,4,manualm5,4,20,27,r,suv
forester awd,2.5,2008,4,manualm5,4,19,25,p,suv
forester awd,2.5,2008,4,autol4,4,20,26,r,suv
forester awd,2.5,2008,4,autol4,4,18,23,p,suv
impreza awd,2.2,1999,4,autol4,4,21,26,r,subcompact
impreza awd,2.2,1999,4,manualm5,4,19,26,r,subcompact
impreza awd,2.5,1999,4,manualm5,4,19,26,r,subcompact
impreza awd,2.5,1999,4,autol4,4,19,26,r,subcompact
impreza awd,2.5,2008,4,autos4,4,20,25,p,compact
impreza awd,2.5,2008,4,autos4,4,20,27,r,compact
impreza awd,2.5,2008,4,manualm5,4,19,25,p,compact
impreza awd,2.5,2008,4,manualm5,4,20,27,r,compact
4runner 4wd,2.7,1999,4,manualm5,4,15,20,r,suv
4runner 4wd,2.7,1999,4,autol4,4,16,20,r,suv
4runner 4wd,3.4,1999,6,autol4,4,15,19,r,suv
4runner 4wd,3.4,1999,6,manualm5,4,15,17,r,suv
4runner 4wd,4.0,2008,6,autol5,4,16,20,r,suv
4runner 4wd,4.7,2008,8,autol5,4,14,17,r,suv
camry,2.2,1999,4,manualm5,f,21,29,r,midsize
camry,2.2,1999,4,autol4,f,21,27,r,midsize
camry,2.4,2008,4,manualm5,f,21,31,r,midsize
camry,2.4,2008,4,autol5,f,21,31,r,midsize
camry,3.0,1999,6,autol4,f,18,26,r,midsize
camry,3.0,1999,6,manualm5,f,18,26,r,midsize
camry,3.5,2008,6,autos6,f,19,28,r,midsize
camry solara,2.2,1999,4,autol4,f,21,27,r,compact
camry solara,2.2,1999,4,manualm5,f,21,29,r,compact
camry solara,2.4,2008,4,manualm5,f,21,31,r,compact
camry solara,2.4,2008,4,autos5,f,22,31,r,compact
camry solara,3.0,1999,6,autol4,f,18,26,r,compact
camry solara,3.0,1999,6,manualm5,f,18,26,r,compact
camry solara,3.3,2008,6,autos5,f,18,27,r,compact
corolla,1.8,1999,4,autol3,f,24,30,r,compact
corolla,1.8,1999,4,autol4,f,24,33,r,compact
corolla,1.8,1999,4,manualm5,f,26,35,r,compact
corolla,1.8,2008,4,manualm5,f,28,37,r,compact
corolla,1.8,2008,4,autol4,f,26,35,r,compact
land cruiser wagon 4wd,4.7,1999,8,autol4,4,11,15,r,suv
land cruiser wagon 4wd,5.7,2008,8,autos6,4,13,18,r,suv
toyota tacoma 4wd,2.7,1999,4,manualm5,4,15,20,r,pickup
toyota tacoma 4wd,2.7,1999,4,autol4,4,16,20,r,pickup
toyota tacoma 4wd,2.7,2008,4,manualm5,4,17,22,r,pickup
toyota tacoma 4wd,3.4,1999,6,manualm5,4,15,17,r,pickup
toyota tacoma 4wd,3.4,1999,6,autol4,4,15,19,r,pickup
toyota tacoma 4wd,4.0,2008,6,manualm6,4,15,18,r,pickup
toyota tacoma 4wd,4.0,2008,6,autol5,4,16,20,r,pickup
gti,2.0,1999,4,manualm5,f,21,29,r,compact
gti,2.0,1999,4,autol4,f,19,26,r,compact
gti,2.0,2008,4,manualm6,f,21,29,p,compact
gti,2.0,2008,4,autos6,f,22,29,p,compact
gti,2.8,1999,6,manualm5,f,17,24,r,compact
jetta,1.9,1999,4,manualm5,f,33,44,d,compact
jetta,2.0,1999,4,manualm5,f,21,29,r,compact
jetta,2.0,1999,4,autol4,f,19,26,r,compact
jetta,2.0,2008,4,autos6,f,22,29,p,compact
jetta,2.0,2008,4,manualm6,f,21,29,p,compact
jetta,2.5,2008,5,autos6,f,21,29,r,compact
jetta,2.5,2008,5,manualm5,f,21,29,r,compact
jetta,2.8,1999,6,autol4,f,16,23,r,compact
jetta,2.8,1999,6,manualm5,f,17,24,r,compact
new beetle,1.9,1999,4,manualm5,f,35,44,d,subcompact
new beetle,1.9,1999,4,autol4,f,29,41,d,subcompact
new beetle,2.0,1999,4,manualm5,f,21,29,r,subcompact
new beetle,2.0,1999,4,autol4,f,19,26,r,subcompact
new beetle,2.5,2008,5,manualm5,f,20,28,r,subcompact
new beetle,2.5,2008,5,autos6,f,20,29,r,subcompact
passat,1.8,1999,4,manualm5,f,21,29,p,midsize
passat,1.8,1999,4,autol5,f,18,29,p,midsize
passat,2.0,2008,4,autos6,f,19,28,p,midsize
passat,2.0,2008,4,manualm6,f,21,29,p,midsize
passat,2.8,1999,6,autol5,f,16,26,p,midsize
passat,2.8,1999,6,manualm5,f,18,26,p,midsize
passat,3.6,2008,6,autos6,f,17,26,p,midsize
